# u, t(=u+rB), psi0t_rB  — ZccmJl unringed quiescent-BC pulse run
# rwt=40 rB=41 Z=1e-3 n=65 du=7.8125e-4 paper-pulse(yc=0,ymin=-0.8,ymax=0.8,tauy=0.15)
7.350000000009693,48.35000000000969,-1.4594326606517455e-6
7.375000000009699,48.3750000000097,-1.462212789839505e-6
7.400000000009705,48.400000000009705,-1.4649825883266482e-6
7.42500000000971,48.42500000000971,-1.4677419705599632e-6
7.450000000009716,48.450000000009716,-1.4704908510143933e-6
7.475000000009722,48.47500000000972,-1.4732291441951079e-6
7.500000000009727,48.50000000000973,-1.475956764639638e-6
7.525000000009733,48.52500000000973,-1.4786736269209344e-6
7.550000000009739,48.55000000000974,-1.4813796456505373e-6
7.575000000009744,48.575000000009744,-1.4840747354797987e-6
7.60000000000975,48.60000000000975,-1.4867588111033417e-6
7.625000000009756,48.625000000009756,-1.4894317872615675e-6
7.650000000009761,48.65000000000976,-1.492093578742718e-6
7.675000000009767,48.67500000000977,-1.4947441003861062e-6
7.700000000009773,48.70000000000977,-1.4973832670841127e-6
7.7250000000097785,48.72500000000978,-1.5000109937854757e-6
7.750000000009784,48.750000000009784,-1.50262719549696e-6
7.77500000000979,48.77500000000979,-1.505231787286493e-6
7.8000000000097955,48.800000000009796,-1.5078246842859695e-6
7.825000000009801,48.8250000000098,-1.510405801693178e-6
7.850000000009807,48.85000000000981,-1.5129750547748478e-6
7.875000000009813,48.87500000000981,-1.5155323588690353e-6
7.900000000009818,48.90000000000982,-1.5180776293878492e-6
7.925000000009824,48.925000000009824,-1.5206107818197372e-6
7.95000000000983,48.95000000000983,-1.523131731732583e-6
7.975000000009835,48.975000000009835,-1.5256403947758219e-6
8.000000000009841,49.00000000000984,-1.5281366866833827e-6
8.025000000009818,49.02500000000982,-1.5306205232761141e-6
8.050000000009796,49.050000000009796,-1.5330918204641181e-6
8.075000000009773,49.07500000000977,-1.5355504942499903e-6
8.10000000000975,49.10000000000975,-1.537996460730276e-6
8.125000000009727,49.12500000000973,-1.540429636099494e-6
8.150000000009705,49.150000000009705,-1.5428499366518744e-6
8.175000000009682,49.17500000000968,-1.5452572787837474e-6
8.20000000000966,49.20000000000966,-1.5476515789965837e-6
8.225000000009636,49.225000000009636,-1.5500327538998748e-6
8.250000000009614,49.250000000009614,-1.5524007202129117e-6
8.275000000009591,49.27500000000959,-1.5547553947676968e-6
8.300000000009568,49.30000000000957,-1.557096694512223e-6
8.325000000009545,49.325000000009545,-1.5594245365115998e-6
8.350000000009523,49.35000000000952,-1.5617388379520764e-6
8.3750000000095,49.3750000000095,-1.5640395161428974e-6
8.400000000009477,49.40000000000948,-1.56632648851866e-6
